probe_id	symbol	gene_id
ILMN_1655418		826
ILMN_1655422		6139
ILMN_1655426		354
ILMN_1655429		7126
ILMN_1655433		594
ILMN_1655446		286046
ILMN_1655449		219479
ILMN_1655454		9839
ILMN_1655468		1830
ILMN_1655469		10099
ILMN_1655474		390443
ILMN_1655482		5987
ILMN_1655485		83932
ILMN_1655497		1975
ILMN_1655498		83723
ILMN_1655504		28981
ILMN_1655509		427
ILMN_1655519		645651
ILMN_1655521		63951
ILMN_1655525		201163
ILMN_1655532		140459
ILMN_1655537		3621
ILMN_1655545		84217
ILMN_1655549		89790
ILMN_1655557		26512
ILMN_1655561		10094
ILMN_1655563		9811
ILMN_1655565		167127
ILMN_1655572		79992
ILMN_1655577		7074
ILMN_1655595		5270
ILMN_1655605		85395
ILMN_1655608		23276
ILMN_1655610		5979
ILMN_1655611		128553
ILMN_1655612		27106
ILMN_1655613		2939
ILMN_1655614		1832
ILMN_1655622		5612
ILMN_1655624		100130673
ILMN_1655625		55094
ILMN_1655626		54540
ILMN_1655632		1855
ILMN_1655635		56339
ILMN_1655637		11045
ILMN_1655642		55215
ILMN_1655644		91752
ILMN_1655645		204
ILMN_1655654		9526
ILMN_1655663		10609
ILMN_1655664		8527
ILMN_1655684		54938
ILMN_1655690		1038
ILMN_1655701		26960
ILMN_1655702		51099
ILMN_1655710		6230
ILMN_1655711		2834
ILMN_1655713		391196
ILMN_1655720		26504
ILMN_1655722		440603
ILMN_1655733		5982
ILMN_1655734		80135
ILMN_1655740		6591
ILMN_1655748		64288
ILMN_1655765		54460
ILMN_1655766		340120
ILMN_1655771		6419
ILMN_1655780		399818
ILMN_1655788		284323
ILMN_1655789		400643
ILMN_1655796		115123
ILMN_1655809		10291
ILMN_1655819		51529
ILMN_1655821		822
ILMN_1655827		9318
ILMN_1655844		9015
ILMN_1655849		145258
ILMN_1655867		57110
ILMN_1655868		23520
ILMN_1655876		57146
ILMN_1655880		50515
ILMN_1655884		488
ILMN_1655894		4632
ILMN_1655904		4919
ILMN_1655905		644414
ILMN_1655906		55294
ILMN_1655909		58160
ILMN_1655913		4925
ILMN_1655915		4320
ILMN_1655921		2960
ILMN_1655924		51095
ILMN_1655930		22936
ILMN_1655932		6120
ILMN_1655935		113
ILMN_1655941		84222
ILMN_1655950		11244
ILMN_1655952		100287171
ILMN_1655955		84125
ILMN_1655961		27099
ILMN_1655974		5158
ILMN_1655983		8556
ILMN_1655987		23166
ILMN_1655990		55755
ILMN_1656011		5996
ILMN_1656016		1660
ILMN_1656017		4899
ILMN_1656040		4917
ILMN_1656042		79932
ILMN_1656045		60677
ILMN_1656051		337971
ILMN_1656057		5328
ILMN_1656066		30000
ILMN_1656069		284185
ILMN_1656073		10627
ILMN_1656079		3784
ILMN_1656097		6579
ILMN_1656111		29116
ILMN_1656118		51341
ILMN_1656123		646658
ILMN_1656129		57181
ILMN_1656131		401237
ILMN_1656132		154197
ILMN_1656134		29883
ILMN_1656136		6780
ILMN_1656139		387640
ILMN_1656144		9261
ILMN_1656145		2805
ILMN_1656159		57205
ILMN_1656165		8239
ILMN_1656171		171019
ILMN_1656185		54849
ILMN_1656186		254428
ILMN_1656189		100125288
ILMN_1656192		619279
ILMN_1656193		284382
ILMN_1656194		83882
ILMN_1656196		1876
ILMN_1656200		83473
ILMN_1656201		645359
ILMN_1656208		3320
ILMN_1656221		403239
ILMN_1656225		338599
ILMN_1656233		441251
ILMN_1656248		79827
ILMN_1656251		646113
ILMN_1656257		732275
ILMN_1656266		285097
ILMN_1656274		84950
ILMN_1656285		25840
ILMN_1656287		9806
ILMN_1656291		60385
ILMN_1656293		9570
ILMN_1656297		54059
ILMN_1656300		2675
ILMN_1656301		8924
ILMN_1656303		9300
ILMN_1656310		3620
ILMN_1656315		1756
ILMN_1656316		9203
ILMN_1656321		4052
ILMN_1656327		144423
ILMN_1656330		886
ILMN_1656335		6016
ILMN_1656338		5802
ILMN_1656342		554251
ILMN_1656361		201176
ILMN_1656364		142689
ILMN_1656368		8659
ILMN_1656369		56892
ILMN_1656371		8989
ILMN_1656372		23481
ILMN_1656373		54796
ILMN_1656378		9397
ILMN_1656380		652276
ILMN_1656383		402381
ILMN_1656386		9871
ILMN_1656393		5523
ILMN_1656395		9499
ILMN_1656399		90843
ILMN_1656404		90987
ILMN_1656410		7225
ILMN_1656413		10269
ILMN_1656415		1031
ILMN_1656420		100132341
ILMN_1656422		53836
ILMN_1656424		6635
ILMN_1656427		79018
ILMN_1656434		9807
ILMN_1656448		401357
ILMN_1656452		80178
ILMN_1656463		51501
ILMN_1656477		410
ILMN_1656482		9885
ILMN_1656486		54431
ILMN_1656487		2243
ILMN_1656492		389422
ILMN_1656495		344022
ILMN_1656496		26122
ILMN_1656501		1847
ILMN_1656504		57343
ILMN_1656521		27341
ILMN_1656540		8607
ILMN_1656546		9826
ILMN_1656553		653160
ILMN_1656557		25852
ILMN_1656560		25849
ILMN_1656563		7849
ILMN_1656574		84108
ILMN_1656576		85300
ILMN_1656577		90134
ILMN_1656589		7716
ILMN_1656593		26289
ILMN_1656595		246329
ILMN_1656617		387856
ILMN_1656621		27243
ILMN_1656624		26238
ILMN_1656625		6229
ILMN_1656628		10785
ILMN_1656638		635
ILMN_1656656		90639
ILMN_1656662		6152
ILMN_1656670		3135
ILMN_1656672		4638
ILMN_1656676		79699
ILMN_1656678		440423
ILMN_1656682		51582
ILMN_1656684		1232
ILMN_1656691		26272
ILMN_1656706		353141
ILMN_1656713		3543
ILMN_1656715		221981
ILMN_1656718		54849
ILMN_1656720		5781
ILMN_1656724		284532
ILMN_1656743		117153
ILMN_1656761		7050
ILMN_1656772		100288069
ILMN_1656779		389762
ILMN_1656791		6194
ILMN_1656792		84256
ILMN_1656798		10440
ILMN_1656802		4017
ILMN_1656807		6155
ILMN_1656812		27231
ILMN_1656818		353345
ILMN_1656822		1785
ILMN_1656826		57630
ILMN_1656837		5947
ILMN_1656840		55187
ILMN_1656842		643365
ILMN_1656849		116369
ILMN_1656867		391013
ILMN_1656883		643201
ILMN_1656886		55957
ILMN_1656902		79654
ILMN_1656904		6509
ILMN_1656910		117854
ILMN_1656913		4190
ILMN_1656915		23362
ILMN_1656920		1396
ILMN_1656925		401180
ILMN_1656927		9037
ILMN_1656933		284353
ILMN_1656934		9185
ILMN_1656938		219855
ILMN_1656939		400099
ILMN_1656940		22885
ILMN_1656942		4007
ILMN_1656949		342618
ILMN_1656951		147495
ILMN_1656955		5098
ILMN_1656962		6209
ILMN_1656977		26275
ILMN_1656979		28
ILMN_1656981		100505679
ILMN_1656988		646508
ILMN_1656992		338322
ILMN_1656998		128866
ILMN_1657002		282763
ILMN_1657009		23114
ILMN_1657011		100289019
ILMN_1657022		116150
ILMN_1657039		27145
ILMN_1657044		147323
ILMN_1657045		29
ILMN_1657050		153642
